DateKey,TimeKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity
20211022,13000,10.9,11.9,11.1,95.0
20211022,20000,11.3,11.1,10.5,96.0
20211022,23000,8.8,10.0,9.5,97.0
20211022,30000,9.7,9.8,9.5,98.0
20211022,33000,8.5,9.1,8.8,98.0
20211022,40000,7.7,9.2,9.1,99.0
20211022,43000,7.2,8.7,8.6,99.0
20211022,50000,8.0,8.7,8.6,99.0
20211022,53000,7.9,8.6,8.5,99.0
20211022,60000,7.6,8.1,8.0,99.0
20211022,60200,7.5,8.0,7.9,99.0
20211022,62300,7.4,7.9,7.8,99.0
20211022,63000,7.5,8.0,7.9,99.0
20211022,70000,9.3,9.4,9.3,99.0
20211022,73000,13.2,12.4,12.4,100.0
20211022,80000,15.5,15.0,15.0,100.0
20211022,83000,17.5,18.0,13.9,77.0
20211022,90000,17.1,19.2,13.6,70.0
20211022,93000,17.7,20.3,13.3,64.0
20211022,100000,19.1,21.2,13.6,62.0
20211022,103000,19.7,22.0,14.1,61.0
20211022,110000,21.3,23.0,14.6,59.0
20211022,113000,23.1,24.1,15.6,59.0
20211022,120000,22.3,24.4,14.8,55.0
20211022,123000,22.4,24.9,14.1,51.0
20211022,130000,22.4,25.4,13.6,48.0
20211022,133000,23.6,25.6,13.8,48.0
20211022,140000,24.0,26.2,14.3,48.0
20211022,143000,24.7,26.7,13.8,45.0
20211022,150000,24.5,26.7,13.4,43.0
20211022,153000,24.9,27.1,13.4,42.0
20211022,160000,24.4,26.9,12.2,40.0
20211022,163000,22.5,25.5,12.0,43.0
20211022,170000,23.2,26.2,11.9,41.0
20211022,173000,22.6,25.4,12.6,45.0
20211022,180000,23.0,25.3,12.9,46.0
20211022,183000,22.3,24.1,13.3,51.0
20211022,190000,21.5,23.3,13.2,53.0
20220806,63000,6.5,8.2,8.2,100.0
20220806,70000,6.7,8.4,8.4,100.0
20220806,72500,6.6,8.3,8.3,100.0
20220806,73000,6.6,8.3,8.3,100.0
20220806,74400,6.2,8.3,8.3,100.0
20220806,74900,6.2,8.3,8.3,100.0
20220806,80000,6.3,8.4,8.4,100.0
20220806,81200,6.3,8.4,8.4,100.0
20220806,83000,6.3,8.4,8.4,100.0
20220806,90000,6.6,8.6,8.6,100.0
20220806,93000,7.1,9.0,9.0,100.0
20220806,100000,7.5,9.3,9.3,100.0
20220806,102500,7.5,9.3,9.3,100.0
20220806,103000,7.3,9.2,9.2,100.0
20220806,110000,8.2,9.9,9.9,100.0
20220806,113000,9.8,10.7,10.7,100.0
20220806,115700,9.1,10.6,10.6,100.0
20220806,120000,8.3,10.3,10.3,100.0
20220806,121600,9.0,10.5,10.5,100.0
20220806,123000,9.6,11.0,11.0,100.0
20220806,130000,9.7,11.2,10.7,97.0
20220806,133000,11.6,11.9,10.1,89.0
20220806,140000,11.8,12.2,9.6,84.0
20220806,143000,10.9,12.5,10.2,86.0
20220806,150000,10.8,12.5,9.7,83.0
20220806,153000,11.1,12.7,10.1,84.0
20220806,160000,10.6,12.4,9.6,83.0
20220806,163000,9.0,12.0,9.2,83.0
20220806,170000,9.6,11.5,9.2,86.0
20220806,173000,9.2,10.6,9.0,90.0
20220806,180000,8.6,8.9,8.8,99.0
20220806,183000,7.5,8.0,8.0,100.0
